track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,200040,4
By Your Side,Rod Wave,['florida rap'],83,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,2AaJeBEq3WLcfFW1y8svDf,194051,4
drivers license,Olivia Rodrigo,['pop'],92,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013,4
You Right,Doja Cat,"['dance pop', 'pop']",89,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,0k4d5YPDr1r7FX77VdqWez,186173,4
love nwantiti (ah ah ah),CKay,['afro r&b'],93,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,2Xr1dTzJee307rmrkt8c0g,145800,4
Softcore,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",91,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,2K7xn816oNHJZ0aVqdQsha,206280,4
All Girls Are The Same,Juice WRLD,"['chicago rap', 'melodic rap']",86,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4VXIryQMWpIdGgYR4TrjT1,165820,4
Notion,The Rare Occasions,['la indie'],88,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,0sTlGEld0h8kIPZaKDYUf4,195121,4
deja vu,Olivia Rodrigo,['pop'],90,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,6HU7h9RYOaPRFeh0R3UeAr,215507,4
Toxic,BoyWithUke,[],93,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629,2gQPv5jvVPqU2a9HhMNO1v,168020,4
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,748mdHapucXQri7IAO8yFK,208867,4
Good Days,SZA,"['pop', 'r&b']",86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A,279204,4
Lucid Dreams,Juice WRLD,"['chicago rap', 'melodic rap']",88,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,239836,4
Tell Em,Cochise,"['plugg', 'pluggnb']",86,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,7nc7mlSdWYeFom84zZ8Wr8,180380,4
Jugaste y Sufrí,Eslabon Armado,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'sierreno']",86,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,3NqBxTOMCJ3zW9CIP51td4,275194,1
Get Into It (Yuh),Doja Cat,"['dance pop', 'pop']",88,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0W6I02J9xcqK8MtSeosEXb,138293,4
Pepas,Farruko,"['latin', 'reggaeton', 'trap latino']",94,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120,4
Hrs and Hrs,Muni Long,"['alternative r&b', 'indie r&b', 'pop r&b', 'pop rap', 'r&b']",86,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.661,139.885,3xRH6FPVtheDyNla3T1FE7,204317,3
family ties (with Kendrick Lamar),Baby Keem,"['hip hop', 'rap']",84,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,7Bpx2vsWfQFBACRz4h3IqH,252070,4
Martin & Gina,Polo G,['chicago rap'],86,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,1VLtjHwRWOVJiE5Py7JxoQ,132833,4
Do It To It,ACRAZE,[],96,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890,4
Fair Trade (with Travis Scott),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",87,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,40iJIUlhi6renaREYGeIDS,291175,4
Smokin Out The Window,Bruno Mars,"['dance pop', 'pop']",87,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,4iN16F8JtVxG2UTzp3avGl,197443,4
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",94,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,02MWAaffLxlfxAUY7c5dvx,238805,4
Buy Dirt,Jordan Davis,['contemporary country'],82,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,69AIpwGNLxr4qS1X5ynx60,167480,4
SLOW DANCING IN THE DARK,Joji,"['alternative r&b', 'viral pop']",86,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,0rKtyWc8bvkriBthvHKY8d,209274,4
NEW MAGIC WAND,"Tyler, The Creator","['hip hop', 'rap']",86,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,0fv2KH6hac06J86hBUTcSf,195320,4
All Of You,Stephanie Beatriz,[],85,0.515,0.467,11,-10.623,1,0.0494,0.633,0.0,0.107,0.346,114.532,4X25mFLehFnxa1TwtLKcE2,278440,4
Drip Too Hard (Lil Baby & Gunna),Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",85,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,78QR3Wp35dqAhFEc2qAGjE,145543,4
Yonaguni,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",94,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS,206710,4
I AM WOMAN,Emmy Meli,[],90,0.646,0.471,10,-9.247,1,0.157,0.122,0.0,0.125,0.455,170.084,3nOz1U41SZZ0N3fuUWr9nb,232813,4
Praise God,Kanye West,"['chicago rap', 'rap']",88,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,0WSEq9Ko4kFPt8yo3ICd6T,226653,4
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",91,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,37BZB0z9T8Xu7U3e65qxFy,191014,4
Shoota (feat. Lil Uzi Vert),Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']",83,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,2BJSMvOGABRxokHKB0OI8i,153800,4
Streets,Doja Cat,"['dance pop', 'pop']",87,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,226987,4
Circles,Post Malone,"['dfw rap', 'melodic rap', 'rap']",88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280,4
Ghost,Justin Bieber,"['canadian pop', 'pop']",91,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190,4
2055,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",86,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4XvcHTUfIlWfyJTRG0aqlo,123987,4
Heather,Conan Gray,"['bedroom pop', 'indie pop', 'pop']",89,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040,3
Big Energy,Latto,"['pop', 'pop r&b', 'r&b', 'trap queen']",82,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,6Zu3aw7FfjAF9WA0fA81Oq,173182,4
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,"['florida rap', 'rap', 'trap']",82,0.739,0.74,5,-5.86,0,0.333,0.0045,0.0,0.161,0.488,75.575,4yNoUQkYf1QF8iYlEzNynH,279853,4
