track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Womanizer,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",79,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,4fixebDZAVToLbUCuEloa2,224400,4
Circus,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",77,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,7jk7gqyEonmVVYahZN5zhW,192360,4
Sk8er Boi,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",79,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,00Mb3DuaIH1kjrwOku9CGU,204000,4
Girlfriend,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",78,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,45hOioMDJktr86iKDHC8gr,216600,4
Smile,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",66,0.634,0.848,1,-3.843,0,0.047,0.00237,0.0,0.0681,0.647,105.055,4bia7OWZPoswlzXCqESYrR,209520,4
What the Hell,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",77,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,2z4U9d5OAA4YLNXoCgioxo,220707,4
S&M,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",79,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,7ySUcLPVX7KudhnmNcgY2D,243600,4
Just Dance,Lady Gaga,"['art pop', 'dance pop', 'pop']",79,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,1dzQoRqT5ucxXVaAhTcT0J,241933,4
Break Your Heart,Taio Cruz,"['dance pop', 'edm', 'pop', 'pop rap']",77,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,7ElF5zxOwYP4qVSWVvse3W,201547,4
Wild Ones (feat. Sia),Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",79,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,1NpW5kyvO4XrNJ3rnfcNy3,232947,4
Boom Boom Pow,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",72,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,3oDFtOhcN08qeDPAK6MEQG,251440,4
On The Floor - Radio Edit,Jennifer Lopez,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",72,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,0Oe49j06Bjrxs8PltuVeaW,230907,4
Rock N Roll,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",62,0.465,0.956,0,-3.34,0,0.128,0.00963,0.000101,0.335,0.665,184.126,471JGLzHPrgM4lS9mNOEIt,206680,4
Party Rock Anthem,LMFAO,"['dance pop', 'pop rap']",75,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,7mitXLIMCflkhZiD34uEQI,262147,4
Sexy And I Know It,LMFAO,"['dance pop', 'pop rap']",70,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,70Vdd1gx5tn84jkAU31ASv,199480,4
Silhouettes - Original Radio Edit,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",66,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,06h3McKzmxS8Bx58USHiMq,211880,4
Hung Up,Madonna,"['dance pop', 'pop']",77,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,3850dYVgOFIXJh5U4BFEWH,337733,4
Kiss Me Thru The Phone,Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",79,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,2q4rjDy9WhaN3o9MvDbO21,193387,4
Radar,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",51,0.648,0.664,4,-6.617,0,0.164,0.25,1.18e-06,0.33,0.484,127.917,0awvRwer2ByXjyDSON60Q3,228413,4
Like A G6,Far East Movement,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",76,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,5AyL2kgLtTWEu3qO3B9SqK,216893,4
Die Young,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",81,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,7EQGXaVSyEDsCWKmUcfpLk,211920,4
